Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks,CoordinatesDecimal,Distance,Source
,AD,ALV,Andorra la Vella,Andorra la Vella,,AI,--34-6--,0601,,4230N 00131E,,"42.50000,1.51667",1,UN/LOCODE
,AD,CAN,Canillo,Canillo,,RL,--3-----,0307,,4234N 00135E,,"42.56667,1.58333",1,UN/LOCODE
,AD,EAC,Escàs,Escas,04,RL,--3-----,1407,,4233N 00131E,,"42.55000,1.51667",1,UN/LOCODE
,AD,ENC,Encamp,Encamp,,RL,--3-----,0307,,4232N 00134E,,"42.53333,1.56667",1,UN/LOCODE
,AD,ESC,Escaldes-Engordany,Escaldes-Engordany,,RL,--3-----,0307,,4231N 00133E,,"42.51667,1.55000",1,UN/LOCODE
,AD,FMO,La Farga de Moles,La Farga de Moles,,RL,--3----B,0307,,4226N 00128E,,"42.430682,1.467462",N/A (no UN/LOCODE),http://www.wikidata.org/entity/Q3820839
,AD,LMA,La Massana,La Massana,,RL,--3-----,0307,,4234N 00129E,,"42.56667,1.48333",4,UN/LOCODE
,AD,ORD,Ordino,Ordino,,RL,--3-----,0307,,4233N 00131E,,"42.55000,1.51667",2,UN/LOCODE
,AD,PAS,Pas de la Casa,Pas de la Casa,,RL,--3----B,0307,,4233N 00144E,,"42.55000,1.73333",1,UN/LOCODE
,AD,SCO,Santa Coloma,Santa Coloma,,RL,--3-----,0307,,4230N 00130E,,"42.50000,1.50000",1,UN/LOCODE
,AD,SJL,Sant Julià de Lòria,Sant Julia de Loria,,RL,--3-----,1101,,4228N 00130E,,"42.46667,1.50000",0,UN/LOCODE
,AE,AAN,Al Ain,Al Ain,,AI,---4----,9601,,2413N 05545E,,"24.2248697,55.7452211",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/82799640#map=12/24.2248697/55.7452211
,AE,ABU,Abu al Bukhoosh,Abu al Bukhoosh,,RL,1-------,0307,,2529N 05308E,,"25.48333,53.13333",N/A (no Nominatim),UN/LOCODE
,AE,AJM,Ajman,Ajman,,RL,1-3-----,0103,QAJ,2524N 05527E,,"25.3936557,55.4451432",N/A (no UN/LOCODE),https://www.openstreetmap.org/node/262479959#map=12/25.3936557/55.4451432
,AE,AJP,Al Jeer Port,Al Jeer Port,RK,RL,1-3-----,1307,,2602N 05603E,,"26.03333,56.05000",N/A (no Nominatim),UN/LOCODE
,AE,ALB,Al Barsha,Al Barsha,DU,RL,--3-----,1701,,2506N 05511E,,"25.10000,55.18333",2,UN/LOCODE
,AE,ALQ,Al Quoz,Al Quoz,DU,RL,--3-----,1701,,2507N 05513E,,"25.11667,55.21667",6,UN/LOCODE
,AE,ALS,Al Sufouh,Al Sufouh,DU,RL,--3-----,1701,,2507N 05511E,,"25.11667,55.18333",1,UN/LOCODE
,AE,AMF,Musaffah,Musaffah,AZ,RL,1-3-----,2301,,2423N 05429E,Function is 1 and coordinates is 2423N 05429E,"24.38333,54.48333",2,UN/LOCODE
,AE,AMU,Abu Musa,Abu Musa,,RL,1-------,0201,,2552N 05501E,,"25.86667,55.01667",N/A (no Nominatim),UN/LOCODE
,AE,ARP,Ahmed Bin Rashid Port,Ahmed Bin Rashid Port,AZ,RL,1-------,1407,,2532N 05533E,,"25.53333,55.55000",7,UN/LOCODE
,AE,ARZ,Arzanah Island,Arzanah Island,,RL,0-------,9506,,2447N 05234E,,"24.7892066,52.5602525",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/18471635
,AE,AUH,Abu Dhabi,Abu Dhabi,AZ,AI,1-345---,1101,,2428N 05422E,,"24.46667,54.36667",2,UN/LOCODE
,AE,AWE,Al Aweer,Al Aweer,DU,RL,-23-----,2307,,2509N 05526E,,"25.1493504,55.4258942",13,https://www.openstreetmap.org/way/155312475#map=12/25.1493504/55.4258942
,AE,DAS,Das Island,Das Island,,RL,1-------,0003,,2509N 05253E,,"25.1419310,52.8775403",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/18471640
,AE,DBI,Al Mafraq,Al Mafraq,AZ,RL,--3-----,1601,,2418N 05436E,,"24.30000,54.60000",3,UN/LOCODE
,AE,DBP,Dibba,Dibba,SH,RL,1-3-----,0401,,2537N 05616E,,"25.61667,56.26667",0,UN/LOCODE
,AE,DER,Deira,Deira,DU,RL,--3-----,1401,,2516N 05519E,,"25.26667,55.31667",1,UN/LOCODE
,AE,DHF,Al Dhafra,Al Dhafra,,AI,--34----,0507,,2414N 05432E,,"24.23333,54.53333",3,UN/LOCODE
,AE,DUJ,The Palm Jumeirah,The Palm Jumeirah,DU,RL,1-------,0901,,2507N 05508E,,"25.117222,55.134444",N/A (no UN/LOCODE),http://www.wikidata.org/entity/Q277294
,AE,DUY,Ras Zubbaya (Ras Dubayyah),Ras Zubbaya (Ras Dubayyah),,RL,0-------,9012,,,,,N/A,N/A
,AE,DWC,Dubai World Central Apt,Dubai World Central Apt,,AI,--34----,1007,,2453N 05510E,,"24.88333,55.16667",N/A (no Nominatim),UN/LOCODE
,AE,DXB,Dubai,Dubai,DU,AI,1-345---,0407,,2515N 05516E,,"25.25000,55.26667",3,UN/LOCODE
,AE,END,Esnnad,Esnnad,AZ,RL,1-------,0901,,2419N 05427E,,"24.31667,54.45000",N/A (no Nominatim),UN/LOCODE
,AE,FAT,Fateh Terminal,Fateh Terminal,,QQ,1-------,8103,,2535N 05425E,,"25.5833,54.4167",N/A (no UN/LOCODE),http://www.wikidata.org/entity/Q4481447
,AE,FJR,Al Fujayrah,Al Fujayrah,FU,AI,1--4----,0212,,2507N 05620E,,"25.11667,56.33333",36,UN/LOCODE
,AE,FMZ,Musafa,Musafa,,RL,0-------,9307,,2420N 05431E,,"24.333333,54.516667",N/A (no UN/LOCODE),http://www.wikidata.org/entity/Q12243475
,AE,FRP,Free Port,Free Port,DU,RL,1-------,1407,,2528N 05530E,,"25.4728575,55.4946245",35,https://www.openstreetmap.org/relation/6189048
,AE,HAB,Habshan,Habshan,AZ,RL,--3-----,1207,,2347N 05334E,,"23.7808771,53.5645219",18,https://www.openstreetmap.org/way/436052627#map=12/23.7808771/53.5645219
,AE,HAM,Al Hamriyah,Al Hamriyah,,RL,--3-----,0212,,2529N 05530E,,"25.48333,55.50000",3,UN/LOCODE
,AE,HAT,Hatta,Hatta,DU,RL,--3-----,1707,,2447N 05607E,,"24.78333,56.11667",2,UN/LOCODE
,AE,HIL,Hail,Hail,AZ,RL,------7-,1801,,2506N 05615E,,"25.09253,56.243891",N/A (hardcoded to Wikidata),http://www.wikidata.org/entity/Q4704008
,AE,HSN,Hassyan,Hassyan,DU,AA,1-3-----,1901,,2454N 05454E,,"24.90000,54.90000",2,UN/LOCODE
,AE,HTL,Hulaylah Terminal,Hulaylah Terminal,,RL,1-------,0901,,2559N 05556E,,"25.98333,55.93333",N/A (no Nominatim),UN/LOCODE
