Unlocode,Parent
AEJEA,AEDXB
AENHD,AEDXB
AOMSZ,AOMOS
ARAEP,ARBUE
ARALL,ARGNR
ATADD,ATNAA
ATARO,ATKMR
ATBDA,ATANR
ATERO,ATKBW
ATERP,ATKFT
ATESN,ATWKI
ATETH,ATHOL
ATFBN,ATGFW
ATFDG,ATLGU
ATFNA,ATVIE
ATGFS,ATSAW
ATGFT,ATATT
ATGRF,ATMUC
ATGSB,ATARB
ATGSB,ATGMA
ATJOC,ATWKD
ATKDT,ATRTZ
ATKIF,ATGWD
ATKIF,ATGWF
ATKOG,ATBKD
ATKRZ,ATKTU
ATKTF,ATKFB
ATKUD,ATERF
ATLLG,ATKAN
ATMDS,ATTRH
ATMLD,ATTSK
ATMOF,ATKIN
ATMTB,ATBFS
ATMTN,ATMUD
ATNE2,ATTTL
ATNET,ATANS
ATNEU,ATLDO
ATNMN,ATHOM
ATNRF,ATAMS
ATOBH,ATZWT
ATORB,ATLEO
ATORH,ATBRU
ATOWG,ATSTP
ATPIS,ATPGO
ATPRH,ATLAA
ATPST,ATGST
ATPZF,ATNIS
ATRAN,ATSHT
ATRHN,ATBRA
ATROS,ATSJK
ATRSD,ATNAT
ATRWL,ATPBM
ATSBC,ATWLL
ATSGN,ATLGU
ATSJB,ATZAE
ATSYM,ATLKI
ATTBG,ATHEL
ATTBG,ATOBU
ATTRW,ATTSK
ATTYN,ATNAT
ATUFN,ATRRA
ATULB,ATDUE
ATUNG,ATGSD
ATURF,ATLNZ
ATWAN,ATFLT
ATWE3,ATSRB
ATWNO,ATWS6
ATZIP,ATNVC
ATZLF,ATGHH
ATZNG,ATLAG
ATZRF,ATPOY
AU2IC,AUMEL
AU2TO,AUMEL
AU2VC,AUMEL
AU4VC,AUMEL
AU5CO,AUMEL
AU5RC,AUMEL
AU5TO,AUMEL
AU6CO,AUMEL
AU6VC,AUMEL
AU7IC,AUMEL
AU8VC,AUMEL
AUABA,AUMEL
AUALT,AUMEL
AUAMD,AUMEL
AUAPT,AUMEL
AUATK,AUMEL
AUATO,AUMEL
AUAUA,AUPER
AUB3B,AUMEL
AUBKL,AUMEL
AUBLY,AUMEL
AUBMW,AUMEL
AUBNX,AUMEL
AUBRB,AUMEL
AUBRS,AUMEL
AUBTV,AUMEL
AUBUN,AUMEL
AUBUW,AUMEL
AUBYS,AUMEL
AUCAD,AUMEL
AUCBG,AUMEL
AUCFL,AUMEL
AUCLD,AUMEL
AUCMR,AUMEL
AUCOL,AUMEL
AUCTT,AUMEL
AUCVA,AUMEL
AUDCR,AUMEL
AUDGY,AUMEL
AUDIA,AUMEL
AUDND,AUMEL
AUDPK,AUMEL
AUDVE,AUMEL
AUDVI,AUMEL
AUDVT,AUMEL
AUE4E,AUMEL
AUELT,AUMEL
