Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks,CoordinatesDecimal,Distance,Source
,US,OQU,Aaron,Aaron,GA,RL,--3-----,1407,,3234N 08159W,,"32.56667,-81.98333",1,UN/LOCODE
,US,AA7,Aaronsburg,Aaronsburg,PA,RL,--3-----,1301,,4053N 07727W,,"40.88333,-77.45000",2,UN/LOCODE
,US,ABB,Abbeville,Abbeville,AL,RQ,--3-----,9307,,3134N 08515W,,"31.5702088,-85.2503315",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/5881465
,US,UAB,Abbeville,Abbeville,LA,RQ,--3-----,9307,,2958N 09208W,,"29.9746502,-92.1342921",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/132078
,US,AV4,Abbeville,Abbeville,MS,RL,--3-----,1201,,3430N 08930W,,"34.50000,-89.50000",0,UN/LOCODE
,US,ABF,Abbeville,Abbeville,SC,RQ,--3-----,9307,,3411N 08223W,,"34.1779495,-82.3792463",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/194106
,US,A8B,Abbot,Abbot,ME,RL,--3-----,1807,,4512N 06927W,,"45.20000,-69.45000",2,UN/LOCODE
,US,ABD,Abbotsford,Abbotsford,WI,RQ,--3-----,9307,,4457N 09019W,,"44.946356,-90.315969",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/251843
,US,9AB,Abbott,Abbott,TX,RL,--3-----,1801,,3153N 09704W,,"31.88333,-97.06667",2,UN/LOCODE
,US,ABJ,Abbott Park,Abbott Park,IL,RL,--3-----,0601,,3846N 07508W,,"38.771264099999996,-75.13876533550699",1143,https://www.openstreetmap.org/way/662871787#map=12/38.771264099999996/-75.13876533550699
,US,AQW,Abbottstown,Abbottstown,PA,RQ,1----6--,1001,,3953N 07659W,,"39.88333,-76.98333",0,UN/LOCODE
,US,A4B,Abbyville,Abbyville,KS,RL,--3-----,1301,,3758N 09812W,,"37.96667,-98.20000",1,UN/LOCODE
,US,AC8,Abercrombie,Abercrombie,ND,RL,--3-----,1301,,4626N 09643W,,"46.43333,-96.71667",7,UN/LOCODE
,US,APD,Aberdeen,Aberdeen,ID,RL,-23-----,0607,,4256N 11250W,,"42.93333,-112.83333",1,UN/LOCODE
,US,ABK,Aberdeen,Aberdeen,KY,RL,--3-----,0507,,3715N 08641W,,"37.25000,-86.68333",0,UN/LOCODE
,US,APG,Aberdeen,Aberdeen,MD,AI,--34----,1601,,3931N 07610W,,"39.5120347,-76.1643289",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/133194
,US,AEK,Aberdeen,Aberdeen,MS,RL,123-----,0601,,3349N 08833W,,"33.81667,-88.55000",1,UN/LOCODE
,US,UAE,Aberdeen,Aberdeen,NC,RQ,--3-----,9307,,3508N 07926W,,"35.131547,-79.4294789",N/A (no UN/LOCODE),https://www.openstreetmap.org/relation/180056
,US,AB3,Aberdeen,Aberdeen,NJ,RL,1-3--6--,0607,,4023N 07415W,,"40.38333,-74.25000",4,UN/LOCODE
,US,AHD,Aberdeen,Aberdeen,OH,RL,--3-----,0607,,3839N 08345W,,"38.65000,-83.75000",1,UN/LOCODE
